recordKey,jsonIndex,id,articleId,publishedAt,publishedDisplay,sourceName,sourceHost,title,storyId,storyTitle,targetKeys,label,sentiment_score,reason,evidencia_sentimento,evento,evento_chave,evento_id,tipo_evento,local,data_evento,descricao_curta,evidencia_evento,model,month
a-1041,863,a-1041,1041,2016-05-31 07:00:00+00:00,31/05/2016 07:00 UTC,Google News,rio.rj.gov.br,Prefeitura da Cidade do Rio de Janeiro - Prefeitura da Cidade do Rio de Janeiro,757,Prefeitura da Cidade do Rio de Janeiro - Prefeitura da Cidade do Rio de Janeiro,seguranca_presente,positivo,1.0,"A notícia destaca a operação Centro Presente como uma iniciativa de reforço no patrulhamento, com investimento significativo e resultados positivos esperados.",A operação contará com a presença ostensiva de 528 agentes de segurança e prevê investimento anual de R$ 47 milhões.,Início da Operação Centro Presente no Centro do Rio de Janeiro,operacao-centro-presente-2016,operacao-centro-presente-2016,operacao policial,Centro do Rio de Janeiro,2016-07-02,Operação Centro Presente inicia com 528 agentes para reforçar segurança no Centro do Rio.,"A partir do dia 2 de julho, a Operação Centro Presente reforçará o patrulhamento nos principais corredores do Centro.",gpt-4o-mini,2016-05
a-1571,862,a-1571,1571,2016-08-29 14:52:53+00:00,29/08/2016 14:52 UTC,Diario do Rio,diariodorio.com,O que é a operação Centro Presente,1098,O que é a operação Centro Presente,crime; seguranca,positivo,1.0,"A operação Centro Presente é apresentada como uma iniciativa que visa melhorar a segurança na região central do Rio, com resultados positivos em prisões e ações sociais.",Os agentes da Operação Segurança Presente haviam efetuado 2.076 prisões e realizado 553 ações de acolhimento a moradores de rua.,Implantação da operação Centro Presente no Centro do Rio,implantacao-operacao-centro-presente-centro-rio-2016,implantacao-operacao-centro-presente-centro-rio-2016,operacao policial,Centro do Rio de Janeiro,2016-07-04,A operação Centro Presente foi implantada no Centro do Rio para melhorar a segurança na região.,A operação chegou ao centro no dia quatro de julho deste ano.,gpt-4o-mini,2016-08
a-1570,853,a-1570,1570,2018-12-24 13:50:05+00:00,24/12/2018 13:50 UTC,Diario do Rio,diariodorio.com,Tijuca Presente começa em 3 de Janeiro,1089,Laranjeiras Presente começa a circular no bairro nesta sexta,patrulhamento; seguranca; seguranca_presente,positivo,1.0,A notícia destaca o início do projeto Segurança Presente na Tijuca como uma ação positiva para a segurança do bairro.,Quem vê um bairro antes e depois do Segurança Presente sabe a diferença que ele faz.,Início do projeto Segurança Presente na Tijuca,inicio-seguranca-presente-tijuca-2019,inicio-seguranca-presente-tijuca-2019,inauguracao/expansao,"Tijuca, Rio de Janeiro",2019-01-03,"O projeto Segurança Presente começa na Tijuca em 3 de janeiro de 2019, com 30 agentes de segurança.",A partir de 3 de Janeiro de 2019 tem início o projeto Segurança Presente no bairro.,gpt-4o-mini,2018-12
a-1569,861,a-1569,1569,2019-01-18 16:14:10+00:00,18/01/2019 16:14 UTC,Diario do Rio,diariodorio.com,Vias Expressas do Rio ganharão seu “Segurança Presente”,1097,Vias Expressas do Rio ganharão seu “Segurança Presente”,crime; policiamento; seguranca; seguranca_presente,positivo,1.0,"A notícia menciona a criação de um programa semelhante ao Segurança Presente, com expectativa de sucesso.",Esperamos que faça o mesmo sucesso que o 'Segurança Presente'.,Criação do programa Segurança Presente nas Vias Expressas do Rio de Janeiro,seguranca-presente-nas-vias-expressas-rio-2019,seguranca-presente-nas-vias-expressas-rio-2019,inauguracao/expansao,Rio de Janeiro,2019-01-18,O governador anuncia a criação do Segurança Presente nas Vias Expressas do Rio.,O governador Wilson Witzel deve fazer nas Vias Expressas do Rio de Janeiro um programa nos moldes do Segurança Presente.,gpt-4o-mini,2019-01
a-1060,315,a-1060,1060,2019-01-21 08:00:00+00:00,21/01/2019 08:00 UTC,Google News,oglobo.globo.com,Programa Segurança Presente cresce custeado por comerciantes,758,Falta de policiais no programa Segurança Presente deixa bairros do Rio com bases esvaziadas nos fins de semana,programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,"A notícia destaca a expansão do programa Segurança Presente com apoio de comerciantes, o que é visto como um avanço positivo.",O governo já tem propostas de associações comerciais e empresas para levar a iniciativa para o Maracanã e para Jacarepaguá.,"Expansão do programa Segurança Presente para Jacarepaguá, Maracanã e Baixada Fluminense",expansao-seguranca-presente-jacarepagua-maracana-baixada-fluminense-2019,expansao-seguranca-presente-jacarepagua-maracana-baixada-fluminense-2019,inauguracao/expansao,Rio de Janeiro,2019,O programa Segurança Presente será expandido com financiamento de comerciantes em novas áreas do Rio.,O secretário promete que vai levar em consideração a mancha criminal para expandir o programa.,gpt-4o-mini,2019-01
a-1568,376,a-1568,1568,2019-01-21 11:53:36+00:00,21/01/2019 11:53 UTC,Diario do Rio,diariodorio.com,Jacarepaguá e Maracanã podem ter Segurança Presente,885,Largo da Lapa ganha base fixa 24h do Segurança Presente,crime; seguranca; seguranca_presente,positivo,1.0,A notícia destaca o sucesso do programa em outras regiões e o interesse em expandi-lo para Jacarepaguá e Maracanã.,"O projeto, que é um sucesso nas regiões em que está, reduziu em 81% dos crimes registrados na 14ª DP (Leblon).",Possível implementação do programa Segurança Presente em Jacarepaguá e Maracanã,implementacao-seguranca-presente-jacarepagua-maracana-2019,implementacao-seguranca-presente-jacarepagua-maracana-2019,gestao/administracao,"Jacarepaguá e Maracanã, Rio de Janeiro",2019-01-21,"O programa Segurança Presente pode ser implementado em Jacarepaguá e Maracanã, com apoio local.",A Associação Comercial e Industrial de Jacarepaguá bancaria o programa no bairro.,gpt-4o-mini,2019-01
a-1567,860,a-1567,1567,2019-01-21 12:12:43+00:00,21/01/2019 12:12 UTC,Diario do Rio,diariodorio.com,Prefeitura fará ações de ordenamento urbano no Centro,1096,Prefeitura fará ações de ordenamento urbano no Centro,programa_seguranca_presente; seguranca; seguranca_presente,positivo,1.0,A notícia destaca a ação de ordenamento urbano em parceria com o programa Segurança Presente como uma iniciativa positiva para o Centro do Rio.,A operação é motivo de comemoração e ocorre em conjunto com o programa Segurança Presente.,Ação de ordenamento urbano no Centro do Rio em conjunto com o programa Segurança Presente,ordenamento-urbano-centro-rio-2019,ordenamento-urbano-centro-rio-2019,outro,Centro do Rio,2019-01-21,Prefeitura inicia ação de ordenamento urbano no Centro do Rio em parceria com o Segurança Presente.,"A ação de ordenamento urbano no Centro do Rio começou hoje, 21/1, e ocorrerá ao longo da semana.",gpt-4o-mini,2019-01
a-1566,361,a-1566,1566,2019-01-30 16:18:39+00:00,30/01/2019 16:18 UTC,Diario do Rio,diariodorio.com,Segurança Presente vai reforçar policiamento no Carnaval,816,"Segurança Presente ganha reforço de verão na Zona Sul e no Centro, com 495 agentes por dia",policiamento; seguranca; seguranca_presente,positivo,1.0,"A notícia destaca o reforço do policiamento durante o Carnaval, o que é uma ação positiva do programa Segurança Presente.",A iniciativa prevê a contribuição de todos os agentes que atuam nas ações já a partir do período pré-carnavalesco.,Reforço do policiamento no Carnaval,reforco-policiamento-carnaval-2019,reforco-policiamento-carnaval-2019,operacao policial,Rio de Janeiro,2019-02,Segurança Presente reforçará policiamento durante o Carnaval no Rio de Janeiro.,O coordenador das Operações Segurança Presente firmou uma parceria para reforçar a segurança de foliões.,gpt-4o-mini,2019-01
a-1565,859,a-1565,1565,2019-02-21 21:37:03+00:00,21/02/2019 21:37 UTC,Diario do Rio,diariodorio.com,Pulseiras de identificação para crianças serão distribuídas no carnaval,1095,Pulseiras de identificação para crianças serão distribuídas no carnaval,seguranca; seguranca_presente,positivo,1.0,"A notícia destaca a distribuição de pulseiras de identificação para crianças durante o Carnaval, promovendo segurança e prevenção de perdas.","A campanha visa facilitar a localização de crianças em caso de incidentes, promovendo segurança no Carnaval.",Distribuição de pulseiras de identificação para crianças no Carnaval,distribuicao-pulseiras-identificacao-carnaval-2019,distribuicao-pulseiras-identificacao-carnaval-2019,evento publico/cultural,Rio de Janeiro,2019-02-22,Serão distribuídas 390 mil pulseiras de identificação para crianças durante o Carnaval no Rio de Janeiro.,As assistentes sociais das operações Segurança Presente ficarão responsáveis pela distribuição nas bases do Centro.,gpt-4o-mini,2019-02
a-1564,858,a-1564,1564,2019-06-28 19:57:04+00:00,28/06/2019 19:57 UTC,Diario do Rio,diariodorio.com,"‘Sou situação, mas posso virar oposição’, diz Witzel a Paulo Guedes",1094,"‘Sou situação, mas posso virar oposição’, diz Witzel a Paulo Guedes",seguranca_presente,positivo,1.0,"A notícia destaca a expansão do programa Segurança Presente em novos bairros e cidades, o que é visto como uma ação positiva do governo.","Witzel anunciou novos pontos do programa Segurança Presente, que contará com policiamento ostensivo.",Expansão do programa Segurança Presente para novos bairros e cidades,expansao-seguranca-presente-bangu-barra-botafogo-laranjeiras-vila-isabel-2019,expansao-seguranca-presente-bangu-barra-botafogo-laranjeiras-vila-isabel-2019,inauguracao/expansao,Rio de Janeiro,2019-06-28,Governador Witzel anuncia expansão do programa Segurança Presente para novos locais.,"O 'Segurança Presente' chegará aos seguintes bairros: Bangu, Barra da Tijuca, Botafogo, Laranjeiras e Vila Isabel.",gpt-4o-mini,2019-06
